pred_y,0,1,2,3,4,5,6
0,259.0,13.0,56.0,29.0,70.0,11.0,47.0
1,4.0,29.0,3.0,0.0,0.0,1.0,0.0
2,59.0,8.0,270.0,31.0,103.0,55.0,53.0
3,42.0,2.0,28.0,756.0,67.0,31.0,53.0
4,47.0,1.0,51.0,18.0,193.0,3.0,45.0
5,5.0,0.0,44.0,8.0,5.0,294.0,11.0
6,75.0,2.0,76.0,37.0,156.0,21.0,417.0
