pred_y,0,1,2,3,4,5,6
0,239.0,23.0,59.0,25.0,56.0,13.0,34.0
1,1.0,10.0,0.0,0.0,0.0,0.0,0.0
2,49.0,13.0,221.0,19.0,70.0,58.0,21.0
3,39.0,3.0,42.0,738.0,60.0,35.0,50.0
4,85.0,3.0,96.0,43.0,274.0,9.0,96.0
5,8.0,1.0,40.0,9.0,4.0,268.0,4.0
6,70.0,2.0,70.0,45.0,130.0,33.0,421.0
