pred_y,0,1,2,3,4,5,6
0,255.0,24.0,78.0,28.0,54.0,19.0,44.0
1,1.0,11.0,1.0,0.0,0.0,0.0,0.0
2,46.0,6.0,176.0,16.0,40.0,49.0,22.0
3,31.0,2.0,34.0,727.0,34.0,29.0,33.0
4,105.0,9.0,146.0,62.0,360.0,20.0,153.0
5,6.0,2.0,39.0,13.0,6.0,281.0,10.0
6,47.0,1.0,54.0,33.0,100.0,18.0,364.0
