pred_y,0,1,2,3,4,5,6
0,228.0,12.0,56.0,33.0,60.0,12.0,38.0
1,2.0,28.0,1.0,0.0,1.0,2.0,1.0
2,37.0,4.0,217.0,28.0,73.0,52.0,31.0
3,25.0,1.0,22.0,660.0,48.0,27.0,36.0
4,75.0,5.0,85.0,36.0,229.0,16.0,68.0
5,10.0,0.0,30.0,9.0,7.0,266.0,9.0
6,114.0,5.0,117.0,113.0,176.0,41.0,443.0
