pred_y,0,1,2,3,4,5,6
0,214.0,8.0,55.0,9.0,39.0,9.0,23.0
1,3.0,31.0,3.0,0.0,0.0,0.0,0.0
2,54.0,4.0,229.0,12.0,60.0,32.0,21.0
3,60.0,5.0,56.0,791.0,100.0,50.0,80.0
4,72.0,4.0,80.0,25.0,251.0,8.0,76.0
5,3.0,1.0,29.0,8.0,6.0,297.0,7.0
6,85.0,2.0,76.0,34.0,138.0,20.0,419.0
