pred_y,0,1,2,3,4,5,6
0,208.0,8.0,40.0,30.0,46.0,10.0,36.0
1,5.0,31.0,4.0,1.0,3.0,1.0,1.0
2,66.0,5.0,237.0,25.0,83.0,33.0,45.0
3,65.0,5.0,58.0,733.0,79.0,33.0,86.0
4,66.0,6.0,83.0,46.0,245.0,11.0,82.0
5,8.0,0.0,48.0,13.0,11.0,300.0,9.0
6,73.0,0.0,58.0,31.0,127.0,28.0,367.0
