pred_y,0,1,2,3,4,5,6
0,259.0,24.0,70.0,20.0,71.0,15.0,30.0
1,3.0,14.0,0.0,0.0,0.0,0.0,0.0
2,34.0,3.0,169.0,17.0,45.0,38.0,16.0
3,27.0,2.0,34.0,739.0,56.0,35.0,39.0
4,92.0,9.0,143.0,50.0,315.0,22.0,111.0
5,3.0,0.0,37.0,8.0,1.0,271.0,3.0
6,73.0,3.0,75.0,45.0,106.0,35.0,427.0
