pred_y,0,1,2,3,4,5,6
0,281.0,20.0,94.0,35.0,87.0,11.0,66.0
1,2.0,23.0,2.0,1.0,1.0,1.0,0.0
2,40.0,3.0,170.0,8.0,30.0,32.0,19.0
3,31.0,3.0,30.0,739.0,49.0,23.0,54.0
4,78.0,5.0,119.0,56.0,302.0,19.0,119.0
5,10.0,1.0,56.0,12.0,13.0,310.0,7.0
6,49.0,0.0,57.0,28.0,112.0,20.0,361.0
