pred_y,0,1,2,3,4,5,6
0,231.0,10.0,56.0,35.0,58.0,14.0,53.0
1,4.0,26.0,2.0,0.0,1.0,0.0,2.0
2,57.0,7.0,219.0,28.0,96.0,36.0,35.0
3,47.0,4.0,48.0,683.0,67.0,21.0,69.0
4,60.0,6.0,75.0,42.0,219.0,13.0,81.0
5,18.0,0.0,60.0,27.0,12.0,315.0,17.0
6,74.0,2.0,68.0,64.0,141.0,17.0,369.0
