pred_y,0,1,2,3,4,5,6
0,191.0,8.0,42.0,22.0,54.0,8.0,33.0
1,4.0,30.0,1.0,0.0,1.0,0.0,2.0
2,63.0,3.0,224.0,24.0,82.0,30.0,30.0
3,52.0,2.0,38.0,705.0,68.0,21.0,55.0
4,52.0,4.0,58.0,35.0,184.0,10.0,48.0
5,21.0,2.0,57.0,21.0,24.0,312.0,25.0
6,108.0,6.0,108.0,72.0,181.0,35.0,433.0
