pred_y,0,1,2,3,4,5,6
0,197.0,13.0,39.0,15.0,46.0,7.0,19.0
1,1.0,17.0,1.0,0.0,0.0,0.0,0.0
2,49.0,7.0,207.0,17.0,55.0,50.0,23.0
3,46.0,7.0,47.0,749.0,85.0,38.0,61.0
4,78.0,5.0,84.0,26.0,223.0,17.0,64.0
5,5.0,1.0,28.0,4.0,2.0,251.0,4.0
6,115.0,5.0,122.0,68.0,183.0,53.0,455.0
