pred_y,0,1,2,3,4,5,6
0,206.0,11.0,40.0,22.0,39.0,8.0,18.0
1,5.0,30.0,2.0,1.0,1.0,0.0,0.0
2,54.0,6.0,199.0,20.0,50.0,48.0,30.0
3,17.0,0.0,14.0,643.0,22.0,20.0,17.0
4,159.0,8.0,179.0,107.0,401.0,39.0,221.0
5,4.0,0.0,53.0,12.0,5.0,282.0,6.0
6,46.0,0.0,41.0,74.0,76.0,19.0,334.0
