pred_y,0,1,2,3,4,5,6
0,200.0,8.0,51.0,30.0,46.0,9.0,36.0
1,3.0,31.0,4.0,1.0,0.0,0.0,2.0
2,50.0,1.0,217.0,22.0,61.0,27.0,32.0
3,40.0,4.0,31.0,701.0,62.0,15.0,54.0
4,70.0,9.0,86.0,28.0,236.0,12.0,83.0
5,23.0,1.0,48.0,28.0,16.0,328.0,15.0
6,105.0,1.0,91.0,69.0,173.0,25.0,404.0
