pred_y,0,1,2,3,4,5,6
0,211.0,14.0,38.0,15.0,36.0,8.0,20.0
1,0.0,16.0,1.0,0.0,0.0,0.0,2.0
2,64.0,5.0,210.0,26.0,55.0,51.0,18.0
3,27.0,2.0,27.0,722.0,40.0,31.0,29.0
4,119.0,17.0,141.0,61.0,350.0,19.0,151.0
5,4.0,0.0,39.0,12.0,5.0,277.0,3.0
6,66.0,1.0,72.0,43.0,108.0,30.0,403.0
