pred_y,0,1,2,3,4,5,6
0,215.0,10.0,35.0,21.0,37.0,13.0,22.0
1,6.0,33.0,2.0,1.0,5.0,0.0,2.0
2,45.0,3.0,206.0,20.0,49.0,32.0,29.0
3,36.0,3.0,38.0,708.0,66.0,25.0,61.0
4,106.0,2.0,142.0,60.0,298.0,23.0,120.0
5,8.0,3.0,40.0,16.0,7.0,301.0,8.0
6,75.0,1.0,65.0,53.0,132.0,22.0,384.0
